"stimulus"	"qty_ug"	"Category"
"empty"	"0"	"Control"
"paper"	"0"	"Control"
"paraffin oil"	"0"	"Control"
"ethyl hexanoate"	"1"	"Control"
"ethyl acetate"	"10"	"Control"
"sulcatone"	"10"	"Control"
"Z9E11-14Ac"	"1"	"Test"
"Z9E11-14Ac"	"10"	"Test"
"Z9E11-14Ac"	"100"	"Test"
"hexanal"	"0.1"	"Test"
"hexanal"	"1"	"Test"
"hexanal"	"10"	"Test"
"hexanal"	"100"	"Test"
"isoamyl acetate"	"0.1"	"Test"
"isoamyl acetate"	"1"	"Test"
"isoamyl acetate"	"10"	"Test"
"1-octen-3-ol"	"10"	"Test"
"1-octen-3-ol"	"100"	"Test"
"Z3-hexenyl acetate"	"1"	"Test"
"Z3-hexenyl acetate"	"10"	"Test"
"Z3-hexenyl acetate"	"100"	"Test"
"henkel100"	"0.01"	"Terminal"
"henkel100"	"0.1"	"Terminal"
"henkel100"	"1"	"Terminal"
"henkel100"	"10"	"Terminal"
"henkel100"	"100"	"Terminal"
